Text,Speaker,Episode,Season,Show
"[Scene shifts to bells ringing at Kings Landing. In front of the Iron Throne, surrounded by druidical looking celebrants, lies the body of JON ARRYN. Up in the balcony, CERSEI watches the scene below as JAIME approaches.]",,e1-Winter is Coming,season-01,Game-of-Thrones
" As your brother, I feel it’s my duty to warn you: You worry too much. It’s starting to show.",JAIME,e1-Winter is Coming,season-01,Game-of-Thrones
" And you never worry about anything. When we were seven, you jumped off the cliffs as Casterly Rock. One hundred foot drop into the water. And you were never afraid.",CERSEI,e1-Winter is Coming,season-01,Game-of-Thrones
" There was nothing to be afraid of until you told father. [In a whisper, mimicking] We’re Lannisters. Lannisters don’t act like fools.",JAIME,e1-Winter is Coming,season-01,Game-of-Thrones
 What if Jon Arryn told someone?,CERSEI,e1-Winter is Coming,season-01,Game-of-Thrones
 But who would he tell?,JAIME,e1-Winter is Coming,season-01,Game-of-Thrones
 My husband.,CERSEI,e1-Winter is Coming,season-01,Game-of-Thrones
" If he told the king, both our heads would be skewered on the city gates by now. Whatever Jon Arryn knew or didn’t know, it died with him. And Robert will choose a new Hand of the king, someone to do his job while he’s off fucking boars and hunting whores. Or is it the other way around? And life will go on.",JAIME,e1-Winter is Coming,season-01,Game-of-Thrones
 You should be the Hand of the king.,CERSEI,e1-Winter is Coming,season-01,Game-of-Thrones
" That’s an honor I can do without. Their days are too long, their lives are too short.",JAIME,e1-Winter is Coming,season-01,Game-of-Thrones
[Scene shifts to a raven approaching Winterfell. CATELYN crosses a busy courtyard and finds NED in the godswood.],,e1-Winter is Coming,season-01,Game-of-Thrones
 All these years and I still feel like an outsider when I come here.,CATELYN,e1-Winter is Coming,season-01,Game-of-Thrones
 You have five northern children. You’re not an outsider.,NED,e1-Winter is Coming,season-01,Game-of-Thrones
 I wonder if the old gods agree.,CATELYN,e1-Winter is Coming,season-01,Game-of-Thrones
 It’s your gods with all the rules.,NED,e1-Winter is Coming,season-01,Game-of-Thrones
" I am so sorry, my love.",CATELYN,e1-Winter is Coming,season-01,Game-of-Thrones
 Tell me.,NED,e1-Winter is Coming,season-01,Game-of-Thrones
 There was a raven from Kings Landing. Jon Arryn is dead. A fever took him. I know he was like a father to you.,CATELYN,e1-Winter is Coming,season-01,Game-of-Thrones
 Your sister. The boy …,NED,e1-Winter is Coming,season-01,Game-of-Thrones
 They both have their health. Gods be good. [pause] The raven brought more news. The king rides for Winterfell. With the queen and all the rest of them.,CATELYN,e1-Winter is Coming,season-01,Game-of-Thrones
" He’s coming this far North, there’s only one thing he’s after.",NED,e1-Winter is Coming,season-01,Game-of-Thrones
" You can always say no, Ned.",CATELYN,e1-Winter is Coming,season-01,Game-of-Thrones
[Scene shifts to the Winterfell great hall where a great banquet is being prepared.],,e1-Winter is Coming,season-01,Game-of-Thrones
 We need plenty of candles for Lord Tyrion’s chamber. I’m told he reads all night.,CATELYN,e1-Winter is Coming,season-01,Game-of-Thrones
 I’m told he drinks all night.,MAESTER LUWIN,e1-Winter is Coming,season-01,Game-of-Thrones
 How much could he possibly drink? A man of his … stature.,CATELYN,e1-Winter is Coming,season-01,Game-of-Thrones
 We’ve brought up eight barrels of ale from the cellar. Perhaps we’ll find out.,LUWIN,e1-Winter is Coming,season-01,Game-of-Thrones
" In any case, candles.",CATELYN,e1-Winter is Coming,season-01,Game-of-Thrones
"[Scene shifts to Robb, Theon, and Jon getting barbered.]",,e1-Winter is Coming,season-01,Game-of-Thrones
 Why’s your mother so dead-set on us getting pretty for the king?,JON,e1-Winter is Coming,season-01,Game-of-Thrones
" It’s for the queen, I bet. I hear she’s [sleek as a mink?]",THEON,e1-Winter is Coming,season-01,Game-of-Thrones
 I hear the prince is a right royal prick.,ROBB,e1-Winter is Coming,season-01,Game-of-Thrones
 Think of all those southern girls he gets to stab with his right royal prick.,THEON,e1-Winter is Coming,season-01,Game-of-Thrones
" Go on, Tommy, shave him good. He’s never met a girl he likes better than his own hair.",ROBB,e1-Winter is Coming,season-01,Game-of-Thrones
"[Scene shifts to the royal procession approaching Winterfell. Bran sees them from his perch high atop a castle wall and clambers nimbly down to tell everyone. CATELYN and LUWIN walk to the courtyard, passing BRAN’s wolf pup.]",,e1-Winter is Coming,season-01,Game-of-Thrones
" Gods, but they grow fast. [Seeing BRAN on the wall] Brandon!",CATELYN,e1-Winter is Coming,season-01,Game-of-Thrones
 I saw the king! He’s got hundreds of people!,BRAN,e1-Winter is Coming,season-01,Game-of-Thrones
 How many times have I told you: No climbing!,CATELYN,e1-Winter is Coming,season-01,Game-of-Thrones
 But he’s coming right now! Down our road!,BRAN,e1-Winter is Coming,season-01,Game-of-Thrones
 I want you to promise me: No more climbing.,CATELYN,e1-Winter is Coming,season-01,Game-of-Thrones
 I promise.,BRAN (looking down),e1-Winter is Coming,season-01,Game-of-Thrones
 D’you know what?,CATELYN,e1-Winter is Coming,season-01,Game-of-Thrones
 What?,BRAN,e1-Winter is Coming,season-01,Game-of-Thrones
 You always look at your feet before you lie. Run and find your father. Tell him the king is close.,CATELYN,e1-Winter is Coming,season-01,Game-of-Thrones
"[BRAN runs off, followed by his wolf pup.]",,e1-Winter is Coming,season-01,Game-of-Thrones
"[Scene shifts to grand entry of the king’s horses and men. ARYA, wearing a helm and cloak, pushes her way into a tall wagon for a better look. In rides JOFFREY, followed by the HOUND. The other Starks wait in a greeting line.]",,e1-Winter is Coming,season-01,Game-of-Thrones
" Where’s Arya? Sansa, where’s your sister?",CATELYN,e1-Winter is Coming,season-01,Game-of-Thrones
[More riders with banners. ARYA scoots past her parents to get in the receiving line.],,e1-Winter is Coming,season-01,Game-of-Thrones
" Hey,, hey, hey, hey. What are you doing with that on? [Pulls off ARYA’s helm]",NED,e1-Winter is Coming,season-01,Game-of-Thrones
 Move!,ARYA (pushing BRAN),e1-Winter is Coming,season-01,Game-of-Thrones
"[JOFFREY rides up, SANSA smiles at him, ROBB glares at JOFFREY. The HOUND pulls up his helm. The coach carrying CERSEI lumbers in, followed by KING ROBERT. All kneel. ROBERT heaves himself off his horse. NED looks shocked at the sight of his old friend, now fat and red-faced. ROBERT signals for all to rise and looks at NED.]",,e1-Winter is Coming,season-01,Game-of-Thrones
 Your Grace.,NED,e1-Winter is Coming,season-01,Game-of-Thrones
 You’ve got fat.,ROBERT,e1-Winter is Coming,season-01,Game-of-Thrones
[NED gives ROBERT a “What about you?” look. They start laughing.],,e1-Winter is Coming,season-01,Game-of-Thrones
 Cat!,ROBERT,e1-Winter is Coming,season-01,Game-of-Thrones
 Your Grace.,CATELYN,e1-Winter is Coming,season-01,Game-of-Thrones
 Nine years. Why haven’t I seen you? Where the hell have you been?,ROBERT,e1-Winter is Coming,season-01,Game-of-Thrones
" Guarding the North for you, Your Grace. Winterfell is yours.",NED,e1-Winter is Coming,season-01,Game-of-Thrones
[CERSEI and her other children descend from the coach.],,e1-Winter is Coming,season-01,Game-of-Thrones
 Where’s the Imp?,ARYA,e1-Winter is Coming,season-01,Game-of-Thrones
 Will you shut up?,SANSA,e1-Winter is Coming,season-01,Game-of-Thrones
" Who have we here? You must be Robb. (To Sansa) My, you’re a pretty one. (To Arya) Your name is?",ROBERT,e1-Winter is Coming,season-01,Game-of-Thrones
 Arya.,ARYA,e1-Winter is Coming,season-01,Game-of-Thrones
ROBERT (to BRAN) Ooh. Show us your muscles. You’ll be a soldier.,,e1-Winter is Coming,season-01,Game-of-Thrones
[JAIME removes his helm.],,e1-Winter is Coming,season-01,Game-of-Thrones
 That’s Jaime Lannister. The queen’s twin brother.,ARYA,e1-Winter is Coming,season-01,Game-of-Thrones
 Would you please shut up.,SANSA,e1-Winter is Coming,season-01,Game-of-Thrones
[CERSEI approaches.],,e1-Winter is Coming,season-01,Game-of-Thrones
 My queen.,NED,e1-Winter is Coming,season-01,Game-of-Thrones
 My queen.,CATELYN,e1-Winter is Coming,season-01,Game-of-Thrones
 Take me to your crypt. I want to pay my respects.,ROBERT,e1-Winter is Coming,season-01,Game-of-Thrones
" We’ve been riding for a month, my love. Surely the dead can wait.",CERSEI,e1-Winter is Coming,season-01,Game-of-Thrones
 Ned.,ROBERT,e1-Winter is Coming,season-01,Game-of-Thrones
 Where’s the Imp?,ARYA,e1-Winter is Coming,season-01,Game-of-Thrones
"[CERSEI, humiliated in front of all, walks back to JAIME.]",,e1-Winter is Coming,season-01,Game-of-Thrones
 Where is our brother? Go find the little beast.,CERSEI,e1-Winter is Coming,season-01,Game-of-Thrones
[Scene changes to the crypt.],,e1-Winter is Coming,season-01,Game-of-Thrones
 Tell me about Jon Arryn.,NED,e1-Winter is Coming,season-01,Game-of-Thrones
" One minute he was fine, and then … Burned right through him, whatever it was. I loved that man.",ROBERT,e1-Winter is Coming,season-01,Game-of-Thrones
 We both did.,NED,e1-Winter is Coming,season-01,Game-of-Thrones
" He never had to teach you much, but me … You remember me at 16? All I wanted to do was crack skulls and fuck girls. He showed me what was what.",ROBERT,e1-Winter is Coming,season-01,Game-of-Thrones
 Aye.,NED,e1-Winter is Coming,season-01,Game-of-Thrones
" Don’t look at me like that. Not his fault I didn’t listen. (They laugh. ROBERT sighs.) I need you, Ned. Down at Kings Landing. Not up here, where you’re no damn use to anybody. Lord Eddard Stark, I would name you the Hand of the king.",ROBERT,e1-Winter is Coming,season-01,Game-of-Thrones
[NED kneels.],,e1-Winter is Coming,season-01,Game-of-Thrones
 I’m not worthy of the honor.,NED,e1-Winter is Coming,season-01,Game-of-Thrones
" I’m not trying to honor you. I’m trying to get you to run my kingdom while I eat, drink, and whore my way to an early grave. Damn it, Ned, stand up. You helped me win the Iron Throne, now help me keep the damn thing. We were meant to rule together. If your sister had lived, we would have been bound by blood. Well, it’s not too late. I have a son, you have a daughter. We’ll join our Houses.",ROBERT,e1-Winter is Coming,season-01,Game-of-Thrones
"[Scene changes to JAIME in the Winterfell settlement. We see Tyrion inside a whorehouse, swilling liquor and laughing as a woman pops into view after servicing him.]",,e1-Winter is Coming,season-01,Game-of-Thrones
 Mmh. It is true what they say about the Northern girls.,TYRION,e1-Winter is Coming,season-01,Game-of-Thrones
 Did you hear the king’s in Winterfell?,ROS,e1-Winter is Coming,season-01,Game-of-Thrones
 I did hear something about that.,TYRION,e1-Winter is Coming,season-01,Game-of-Thrones
 And the queen. And her twin brother. They say that he is the most handsome man in the Seven Kingdoms.,ROS,e1-Winter is Coming,season-01,Game-of-Thrones
 And the other brother?,TYRION,e1-Winter is Coming,season-01,Game-of-Thrones
 The queen has two brothers?,ROS,e1-Winter is Coming,season-01,Game-of-Thrones
 There’s the pretty one. And there’s the clever one.,TYRION,e1-Winter is Coming,season-01,Game-of-Thrones
 I hear they call him the Imp.,ROS,e1-Winter is Coming,season-01,Game-of-Thrones
 I hear he hates that nickname.,TYRION,e1-Winter is Coming,season-01,Game-of-Thrones
 Oh? I hear he’s more than earned it. I hear he’s a drunken little lecher into all manner of perversions.,ROS,e1-Winter is Coming,season-01,Game-of-Thrones
 Clever girl.,TYRION,e1-Winter is Coming,season-01,Game-of-Thrones
" We’ve been expecting you, Lord Tyrion.",ROS,e1-Winter is Coming,season-01,Game-of-Thrones
 Have you?,TYRION,e1-Winter is Coming,season-01,Game-of-Thrones
 The gods gave me one blessing.,TYRION,e1-Winter is Coming,season-01,Game-of-Thrones
[She climbs on TYRION. JAIME walks in without knocking.],,e1-Winter is Coming,season-01,Game-of-Thrones
 Don’t get up.,JAIME,e1-Winter is Coming,season-01,Game-of-Thrones
 M’lord.,ROS,e1-Winter is Coming,season-01,Game-of-Thrones
" Should I explain to you the meaning of a closed door in a whorehouse, brother?",TYRION,e1-Winter is Coming,season-01,Game-of-Thrones
" You’ve much to teach me, no doubt. But our sister craves your attention.",JAIME,e1-Winter is Coming,season-01,Game-of-Thrones
" She has odd cravings, our sister.",TYRION,e1-Winter is Coming,season-01,Game-of-Thrones
" A family trait. Now, the Starks are feasting us at sundown. Don’t leave me alone with these people.",JAIME,e1-Winter is Coming,season-01,Game-of-Thrones
" I’m sorry, I’ve begun the feast a bit early. And this is the first of many courses.",TYRION,e1-Winter is Coming,season-01,Game-of-Thrones
" I thought you might say that. But since we’re short on time, (he opens the door; a bevy of whores enter and descend on TYRION) Come on, girls. See you at sundown.",JAIME,e1-Winter is Coming,season-01,Game-of-Thrones
[JAIME leaves.],,e1-Winter is Coming,season-01,Game-of-Thrones
 Close the door!,TYRION,e1-Winter is Coming,season-01,Game-of-Thrones
"Scene changes to the Winterfell crypt, at Lyanna’s tomb. [Robert places a feather in the hand of her statue.]",,e1-Winter is Coming,season-01,Game-of-Thrones
 Did you have to bury her in a place like this? She should be on a hill somewhere with the sun and the clouds above her.,ROBERT,e1-Winter is Coming,season-01,Game-of-Thrones
 She was my sister. This is where she belongs.,NED,e1-Winter is Coming,season-01,Game-of-Thrones
 She belonged with me.,ROBERT,e1-Winter is Coming,season-01,Game-of-Thrones
[He touches Lyanna’s face.],,e1-Winter is Coming,season-01,Game-of-Thrones
" In my dreams, I kill him every night.",ROBERT,e1-Winter is Coming,season-01,Game-of-Thrones
" It’s done, Your Grace. The Targaryens are gone.",NED,e1-Winter is Coming,season-01,Game-of-Thrones
 Not all of them.,ROBERT,e1-Winter is Coming,season-01,Game-of-Thrones
"[Scene shifts to Daenerys on a balcony in Pentos, across the Narrow Sea.]",,e1-Winter is Coming,season-01,Game-of-Thrones
 Daenerys!,VISERYS (off camera),e1-Winter is Coming,season-01,Game-of-Thrones
[He enters a large chamber.],,e1-Winter is Coming,season-01,Game-of-Thrones
 Daenerys! There’s our bride to be! Look – a gift from Illyrio. Touch it. Come on. Feel the fabric. Mmmm. Isn’t he a gracious host?,VISERYS,e1-Winter is Coming,season-01,Game-of-Thrones
 We’ve been his guests for over a year and he’s never asked us for anything.,DAENERYS,e1-Winter is Coming,season-01,Game-of-Thrones
" Illyrio is no fool. He knows I won’t forget my friends when I come into my throne. You still slouch. Let me see. (He pulls off her gown.) You have a woman’s body now. (She endures it as he strokes her breast.) I need you to be perfect today. Can you do that for me? You don’t want to wake the dragon, do you?",VISERYS,e1-Winter is Coming,season-01,Game-of-Thrones
 No.,DAENERYS,e1-Winter is Coming,season-01,Game-of-Thrones
[VISERYS nods and starts to leave the chamber. He turns.],,e1-Winter is Coming,season-01,Game-of-Thrones
" When they write the history of my reign, sweet sister, they will say it began today.",VISERYS,e1-Winter is Coming,season-01,Game-of-Thrones
[Daenerys turns and steps into a steaming hot bath with a despairing look on her face.],,e1-Winter is Coming,season-01,Game-of-Thrones
" It’s too hot, my lady.",MAID,e1-Winter is Coming,season-01,Game-of-Thrones
"[But DAENERYS keeps stepping deeper. The scene shifts to ILLYRIOS, DAENERYS, AND VISERYS outside the mansion, awaiting Khal Drogo.]",,e1-Winter is Coming,season-01,Game-of-Thrones
 Where is he?,VISERYS,e1-Winter is Coming,season-01,Game-of-Thrones
 The Dothraki are not known for their punctuality.,ILLYRIO,e1-Winter is Coming,season-01,Game-of-Thrones
[A host of Dothraki come riding up. Khal Drogo wheels his stallion into the front.],,e1-Winter is Coming,season-01,Game-of-Thrones
" (Greets them in Dothraki.) May I present my honored guests? Viserys of House Targaryen, the third of his name. The rightful King of the Andals and the First Men. And his sister, Daenerys, of the House Targaryen.",ILLYRIO,e1-Winter is Coming,season-01,Game-of-Thrones
"VISERYS (to DAENERYS) Do you see how long his hair is? When Dothraki are defeated in combat, they cut off their braid so the whole world can see their shame. Khal Drogo has never been defeated. He’s a savage, of course, but he’s one of the finest killers alive. And you will be his queen.",,e1-Winter is Coming,season-01,Game-of-Thrones
" Come forward, my dear.",ILLYRIO,e1-Winter is Coming,season-01,Game-of-Thrones
"[KHAL DROGO watches as DAENERYS walks toward him. She does not hesitate and looks straight at him, although there is fear on her face. KHAL DROGO gazes at her and then leads his horsemen on a charge away.]",,e1-Winter is Coming,season-01,Game-of-Thrones
 Where’s he going?,VISERYS,e1-Winter is Coming,season-01,Game-of-Thrones
 The ceremony is over.,ILLYRIO,e1-Winter is Coming,season-01,Game-of-Thrones
 But he didn’t say anything. Did he like her?,VISERYS,e1-Winter is Coming,season-01,Game-of-Thrones
" Trust me, Your Grace. If he didn’t like her, we’d know.",ILLYRIO,e1-Winter is Coming,season-01,Game-of-Thrones
