"item_id","item_name"
"R10","Crispy Dry Soy Seaweed Fried Rice"
"R11","Mixed Vegetable and Tofu Pan Fried Noodle"
"R12","Pan Fried Noodle with Tofu and Curry Sauce"
"R13","Mixed Vegetable Pan Fried Noodle"
"R14","Vegan Pork and Cabbage Pan Fried Noodle"
"R15","Vegan Pork Chow Mein"
"R16","Vegetable Chow Mein"
"R17","Soy Sauce Chow Mein"
"R18","Vegan Pork and Rice Noodle in Preserved Vegetable Soup"
"R19","Wonton Soup with Noodle"
"R20","Vegetable Noodle Soup"
"R21","Vegan Beef Chow Fun"
"R22","Chinese Broccoli Basil Chow Fun"
"R23","Vegan Beef with Black Pepper Sauce Over Chow Fun"
"R24","Vegan Beef with Black Bean Sauce Over Chow Fun"
"R25","Malaysian-Style Chow Fun"
"R26","Singaporean-Style Rice Noodle"
"R28","Rice Noodle with Vegan Pork and Preserved Vegetable"
"R29","Chao-Style Rice Noodle"
"R30","Braised Noodle"
"R32","Mapo Tofu Over Noodle"
"R34","Plain Steamed Rice"
"R35","Brown Steamed Rice"
"S1","Vegan Shark's Fin Soup"
"S3","Vegan Shark's Fin with Bamboo Fungus Soup"
"S4","Snow Mushroom Soup"
"S6","Corn Tofu Soup"
"S7","Seaweed and Tofu Soup"
"S8","Hot and Sour Soup"
"S9","Wonton Soup"
"S12","Sizzling Rice and Vegetable Soup"
"SP1","Fresh Bean Curd Skin with Vegetable"
"C1","Vegan BBQ Bun (cold item - steam at home)"
"SP2","Mixed Vegetables and Avocado with Black Pepper"
"C2","Steamed Dumplings  (cold item - steam at home)"
"C3","Pan Fried Turnip Cake"
"SP3","Double Mushroom with Vegetable"
"SP5","Lemon Grass Bean Curd Roll with Lemon"
"C5","Sesame Ball"
"SP7","Pan Fried Bean Curd Roll"
"SP8","Avocado with Tofu"
"SP11","Tofu with Toons"
"SP13","Toons Pan Cake"
"SP16","House Assorted Platter"
"C18","Happy Ball"
"A19","Homemade Hot Sauce (Chili Oil) - 1 Jar"
"SP19","Fresh Mushroom with Vegan Sea Cucumber"
"SP20","Pinenuts with Toons Fried Rice"
"SP27","Fried Turnip Ball"
"SP28","Fried Curd"
"SP30","Stuffed Eggplant"
"SP31","Black Pepper Vegan Chicken Roll"
"SP32","Crispy Vegan Chicken with Mixed Nuts"
